timestamp,object,px_widths,px_heights,px_width_changes,px_height_changes,mm_widths,mm_heights,mm_width_changes,mm_height_changes,rostopic_wrenches,rostopic_positions
140435935,compressed-0,285.8193906965806,230.4851218115239,14.515474998376703,18.78644647335858,-285.8193906965806,-230.4851218115239,-14.515474998376703,-18.78644647335858,3.15309119225,-0.245325153181
202135087,compressed-1,285.8631561283256,231.30334857103102,14.55924043012169,19.604673232865707,-285.8631561283256,-231.30334857103102,-14.55924043012169,-19.604673232865707,3.15309119225,-0.245325153181
272517920,compressed-2,286.1238268921641,231.2796925169799,14.819911193960195,19.58101717881459,-286.1238268921641,-231.2796925169799,-14.819911193960195,-19.58101717881459,3.15309119225,-0.245325153181
342607975,compressed-3,286.9166202623061,231.17256019054997,15.61270456410216,19.473884852384657,-286.9166202623061,-231.17256019054997,-15.61270456410216,-19.473884852384657,3.15309119225,-0.245325153181
404757977,compressed-4,284.93237217840834,231.39651895833126,13.62845648020442,19.69784362016594,-284.93237217840834,-231.39651895833126,-13.62845648020442,-19.69784362016594,3.15309119225,-0.245325153181
474828959,compressed-5,285.8466461535075,231.32912727826948,14.54273045530357,19.630451940104166,-285.8466461535075,-231.32912727826948,-14.54273045530357,-19.630451940104166,3.15309119225,-0.245325153181
536463976,compressed-6,285.8427524571697,231.39657999178795,14.538836758965772,19.69790465362263,-285.8427524571697,-231.39657999178795,-14.538836758965772,-19.69790465362263,3.15309119225,-0.245325153181
608418942,compressed-7,285.2386848221928,231.65369746873364,13.934769123988872,19.955022130568324,-285.2386848221928,-231.65369746873364,-13.934769123988872,-19.955022130568324,2.97312378883,-0.245429733648
670506001,compressed-8,285.82343095187156,231.366981059586,14.519515253667635,19.668305721420694,-285.82343095187156,-231.366981059586,-14.519515253667635,-19.668305721420694,2.65856003761,-0.246029959325
738779068,compressed-9,285.85657516284124,232.29422422722178,14.552659464637316,20.59554888905646,-285.85657516284124,-232.29422422722178,-14.552659464637316,-20.59554888905646,3.38070201874,-0.246215715369
803867102,compressed-10,285.8186362112415,231.22231209586,14.51472051303756,19.523636757694675,-285.8186362112415,-231.22231209586,-14.51472051303756,-19.523636757694675,2.26545524597,-0.246906142329
870931149,compressed-11,285.863110353143,230.48325949989308,14.559194654939063,18.784584161727764,-285.863110353143,-230.48325949989308,-14.559194654939063,-18.784584161727764,2.56072330475,-0.246676964574
934425116,compressed-12,286.92476868222764,230.4185064215836,15.620852984023713,18.719831083418285,-286.92476868222764,-230.4185064215836,-15.620852984023713,-18.719831083418285,2.84008526802,-0.246396254305
1006361008,compressed-13,284.82787743477803,231.28463825548656,13.523961736574108,19.58596291732124,-284.82787743477803,-231.28463825548656,-13.523961736574108,-19.58596291732124,3.03412008286,-0.247292705808
1074926138,compressed-14,285.220141019003,231.5640816679968,13.916225320799072,19.865406329831472,-285.220141019003,-231.5640816679968,-13.916225320799072,-19.865406329831472,2.59849357605,-0.247036612001
1136475087,compressed-15,285.19316879281456,231.67215278688246,13.889253094610638,19.973477448717148,-285.19316879281456,-231.67215278688246,-13.889253094610638,-19.973477448717148,3.8645067215,-0.247001860674
1208368063,compressed-16,285.8265102074255,231.2135771892691,14.522594509221562,19.514901851103787,-285.8265102074255,-231.2135771892691,-14.522594509221562,-19.514901851103787,3.48494195938,-0.247925212046
1270232916,compressed-17,286.84270388843964,232.27709782994447,15.53878819023572,20.57842249177915,-286.84270388843964,-232.27709782994447,-15.53878819023572,-20.57842249177915,2.54344272614,-0.2471458421
1340431929,compressed-18,285.2064415603295,231.65369746873364,13.902525862125572,19.955022130568324,-285.2064415603295,-231.65369746873364,-13.902525862125572,-19.955022130568324,2.96828436852,-0.247524229692
1402190924,compressed-19,284.84534143384803,232.27768514726387,13.541425735644111,20.57900980909855,-284.84534143384803,-232.27768514726387,-13.541425735644111,-20.57900980909855,2.88027334213,-0.247505633721
